target_id	length	eff_length	est_counts	tpm
b0113	765	266	99	1976.22
b0114	2664	2165	619	1518.15
b0115	1893	1394	161	613.262
b0116	1425	926	267	1531.03
b0117	1854	1355	1	3.91871
b0118	2598	2099	84	212.495
b0119	363	15.6727	0	0
b0120	795	296	24	430.529
b0121	867	368	14	202.005
b0122	348	14.5549	0	0
b0123	1551	1052	3	15.1422
b0124	2391	1892	7	19.6453
b0125	537	57.4692	72	6652.43
b0126	663	164.095	95	3074.05
b0127	927	428	9	111.656
b0128	771	272	0	0
b0129	441	25.1479	0	0
b0130	1230	731	7	50.8468
b0131	381	17.2382	0	0
b0132	903	404	0	0
b0133	852	353	7	105.295
b0134	795	296	9	161.448
b0135	1239	740	0	0
b0136	597	101.058	0	0
b0137	606	109.099	0	0
b0138	570	79.0173	0	0
b0139	2598	2099	0	0
b0140	741	242	0	0
b0141	585	90.8337	1	58.4569
b0142	480	34.082	0	0
b0143	1398	899	62	366.197
b0144	927	428	5	62.031
b0145	456	28.1035	4	755.756
b0146	705	206.004	3	77.3264
b0147	531	54.2343	0	0
b0148	2430	1931	8	21.9984
b0149	2535	2036	31	80.8475
b0150	2244	1745	174	529.464
b0151	798	299	6	106.552
b0152	891	392	5	67.7277
b0153	1983	1484	3	10.7342
b0154	1281	782	54	366.665
b0155	1422	923	4	23.0113
b0156	345	14.3489	0	0
b0157	624	125.904	6	253.043
b0158	801	302	5	87.9115
b0159	699	200.007	36	955.741
b0160	1518	1019	15	78.1627
b0161	1425	926	102	584.887
b0162	1158	659	0	0
b0163	387	17.824	0	0
b0164	813	314	3	50.7311
b0166	825	326	81	1319.32
b0167	2673	2174	11	26.8668
b0168	795	296	80	1435.1
b0169	726	227.001	410	9590.46
b0170	852	353	647	9732.23
b0171	726	227.001	24	561.393
b0172	558	70.4455	84	6331.53
b0173	1197	698	9	68.4652
b0174	762	263	22	444.17
b0175	858	359	3	44.372
b0176	1353	854	42	261.14
b0177	2433	1934	109	299.263
b0178	486	35.8681	89	13175.4
b0179	1026	527	91	916.882
b0180	456	28.1035	0	0
b0181	789	290	36	659.154
b0182	1149	650	29	236.901
b0183	597	101.058	15	788.141
b0184	3483	2984	39	69.3982
b0185	960	461	40	460.725
b0186	2142	1643	5	16.159
b0187	390	18.1303	0	0
b0188	1299	800	4	26.5493
b0189	255	10.0165	0	0
b4406	201	8.47023	0	0
b0190	546	62.7123	4	338.68
b0191	423	22.2141	0	0
b0192	711	212.003	10	250.462
b0193	825	326	0	0
b0194	1719	1220	98	426.529
b0195	708	209.003	1	25.4056
b0196	405	19.811	0	0
b0197	816	317	16	268.005
b0198	654	155.169	2	68.4398
b0199	1032	533	12	119.546
b0200	576	83.6041	0	0
b0201	1542	1043	0.00955472	0.0486425
b0202	77	6.27601	0	0
b0203	76	6.26311	0	0
b0204	2904	2405	25.2658	55.7829
b0205	120	6.88922	0	0
b0206	77	6.27601	0	0
b0207	804	305	2	34.8187
b0208	915	416	4	51.0563
b0209	801	302	13	228.57
b0210	624	125.904	0	0
b0211	1359	860	66	407.501
b0212	756	257	16	330.575
b0213	723	224.001	3	71.1138
b0214	468	30.877	0	0
b0215	732	233	6	136.734
b0216	77	6.27601	0	0
b0217	786	287	2	37.0025
b4586	480	34.082	0	0
b0218	357	15.2072	0	0
b4503	273	10.6657	0	0
b0219	771	272	5	97.6076
b0220	474	32.4213	1	163.777
b0221	2445	1946	2	5.4572
b0222	579	85.9688	8	494.119
b0223	768	269	5	98.6962
b0224	741	242	28	614.363
b0225	279	10.9009	0	0
b0226	261	10.224	0	0
b0227	750	251	0	0
b0228	498	39.8547	0	0
b0229	1713	1214	0	0
b0230	756	257	0	0
b0231	1056	557	2	19.0659
b0232	294	11.5358	0	0
b0233	399	19.1073	0	0
b0234	453	27.47	0	0
b0235	207	8.61779	0	0
b0236	501	40.9449	0	0
b0237	1458	959	362	2004.35
b0238	459	28.7601	3	553.878
b0239	1245	746	11	78.2955
b0240	402	19.4536	0	0
b0241	1056	557	3	28.5989
b0242	1104	605	7	61.4363
b0243	1254	755	17	119.56
b0244	76	6.26311	0	0
b4626	63	6.10029	0	0
b0245	342	14.1482	0	0
b0246	318	12.7153	0	0
b4504	222	9.01066	0	0
b0247	477	33.2366	0	0
b0248	459	28.7601	1	184.626
b0249	240	9.53274	0	0
b0250	468	30.877	0	0
b0251	444	25.6983	0	0
b4627	222	9.01066	0	0
b4628	192	8.25831	0	0
b0252	822	323	0	0
b0253	864	365	1	14.5475
b0254	894	395	1	13.4427
b4587	684	185.022	2	57.397
b0256	1152	653	8	65.0518
b0258	1108	609	0	0
b0259	1017	518	12.9938	133.196
b0260	1404	905	0	0
b0261	933	434	0	0
b0262	1047	548	0	0
b0263	348	14.5549	0	0
b0264	504	42.0749	0	0
b0265	276	10.782	0	0
b4708	174	7.86552	0	0
b4505	249	9.81725	0	0
b0266	309	12.2468	0	0
b0267	1155	656	0	0
b0268	909	410	0	0
b0269	1968	1469	0	0
b0270	1383	884	1	6.00662
b0271	1611	1112	0	0
b0272	759	260	4	81.6901
b0273	1005	506	1	10.4938
b4688	205	8.56803	0	0
b0274	504	42.0749	0	0
b0275	276	10.782	0	0
b0276	828	329	0	0
b0277	627	128.777	0	0
b0278	699	200.007	2	53.0967
b0279	855	356	0	0
b0280	441	25.1479	0	0
b0281	1401	902	19	111.848
b4629	49	5.93211	0	0
b4694	339	13.9528	0	0
b4695	78	6.28896	0	0
b0283	957	458	0	0
b0284	2199	1700	0	0
b0285	957	458	0	0
b0286	690	191.014	0	0
b0287	615	117.399	4	180.917
b0288	330	13.3957	0	0
b0289	711	212.003	0	0
b0290	1644	1145	0	0
b0291	2526	2027	3	7.85869
b0292	669	170.064	0	0
b0293	588	93.3306	0	0
b0294	591	95.8682	0	0
b0295	228	9.17816	0	0
b4506	141	7.23733	0	0
b0296	264	10.331	0	0
b4671	102	6.61767	0	0
b4630	90	6.44887	0	0
b0297	872	373	0	0
b0298	300	11.8104	0	0
b0299	867	368	0.2	2.88579
b0300	684	185.022	3	86.0955
b4631	129	7.03401	0	0
b0301	594	98.4446	1	53.9375
b0303	237	9.44154	0	0
b0304	1326	827	3	19.2619
b0305	855	356	2	29.8306
b0306	720	221.001	0	0
b0307	1428	929	2	11.4313
b0308	696	197.009	0	0
b0310	669	170.064	1	31.2227
b0311	1671	1172	8	36.2447
b0312	1473	974	9	49.0644
b0313	588	93.3306	4	227.572
b0314	2034	1535	7	24.2143
b0315	1089	590	3	26.9993
b0316	933	434	1	12.2347
b0317	498	39.8547	0	0
b0318	606	109.099	1	48.6702
b0319	864	365	0	0
b0320	1548	1049	0	0
b0321	1419	920	0	0
b0323	951	452	1	11.7475
b0324	1383	884	8	48.053
b0325	1050	551	8	77.0941
b0326	816	317	0	0
b0327	246	9.72054	0	0
b0328	672	173.052	0	0
b0329	276	10.782	0	0
b0330	1587	1088	0	0
b0331	891	392	0	0
b0333	1170	671	1	7.91335
b0334	1452	953	0	0
b0335	1887	1388	0	0
b0336	1260	761	4	27.9099
b0337	1284	785	8	54.1132
b0338	900	401	1	13.2415
b0339	660	161.116	0	0
b0340	471	31.6352	0	0
b0341	1155	656	0	0
b0342	612	114.607	0	0
b0343	1254	755	0	0
b0344	3075	2576	3	6.18384
b0345	1083	584	5	45.4611
b0346	834	335	2	31.7006
b0347	1665	1166	0	0
b0348	945	446	0	0
b0349	867	368	0	0
b0350	810	311	0	0
b0351	951	452	0	0
b0352	1014	515	0	0
b0353	1212	713	0	0
b0354	540	59.1642	0	0
b0355	834	335	4	63.4013
b0356	1110	611	7	60.833
b0357	276	10.782	0	0
b0358	774	275	0	0
b4579	698	199.008	0	0
b0360	366	15.9154	0	0
b0361	906	407	2.1665	28.2649
b0363	1197	698	0	0
b0364	558	70.4455	0	0
b0365	963	464	0	0
b0366	768	269	0	0
b0367	828	329	0	0
b0368	852	353	0	0
b0369	975	476	60	669.309
b4580	2907	2408	11	24.256
b0372	867	368	0.2	2.88579
b0373	300	11.8104	0	0
b0375	624	125.904	0	0
b0376	1158	659	5	40.2872
b0377	1221	722	2	14.7087
b0378	1095	596	6	53.4549
b0379	309	12.2468	0	0
b0380	213	8.77069	0	0
b0381	1095	596	65	579.095
b0382	261	10.224	0	0
b0383	1416	917	0	0
b0384	321	12.8791	0	0
b0385	1116	617	2	17.2118
b0386	810	311	4	68.294
b0387	459	28.7601	0	0
b0388	525	51.202	1	103.704
b0389	192	8.25831	0	0
b0390	678	179.034	5	148.292
b0391	285	11.1465	0	0
b0392	342	14.1482	0	0
b0393	912	413	21	269.993
b0394	909	410	1	12.9509
b0396	1185	686	1	7.74031
b0397	3147	2648	25	50.1308
b0398	1203	704	3	22.6272
b0399	690	191.014	0	0
b0400	1296	797	2	13.3246
b0401	1320	821	16	103.481
b0402	1374	875	7	42.4788
b0403	1815	1316	1	4.03484
b0404	582	88.3792	1	60.0804
b0405	1071	572	26	241.357
b0406	1128	629	47	396.762
b0407	333	13.5766	0	0
b0408	1848	1349	65	255.849
b0409	972	473	18	202.066
b0410	348	14.5549	0	0
b0411	885	386	185	2544.88
b0412	540	59.1642	0	0
b0413	450	26.8585	0	0
b0414	1104	605	1	8.77662
b0415	471	31.6352	4	671.386
b0416	420	21.7802	0	0
b0417	978	479	7	77.597
b0418	519	48.3653	0	0
b0419	975	476	13	145.017
b0420	1863	1364	18	70.0714
b0421	900	401	16	211.865
b0422	243	9.62572	0	0
b0423	1449	950	40	223.573
b0424	591	95.8682	5	276.935
b0425	912	413	15	192.852
b0426	492	37.7891	7	983.59
b0427	1365	866	12	73.5777
b0428	891	392	66	894.006
b0429	330	13.3957	0	0
b0430	615	117.399	10	452.293
b0431	1992	1493	331	1177.2
b0432	948	449	287	3394.05
b0433	1476	977	16	86.9577
b0434	579	85.9688	6	370.589
b0435	318	12.7153	0	0
b0436	1299	800	713	4732.41
b0437	624	125.904	51	2150.86
b0438	1275	776	116	793.741
b0439	2355	1856	81	231.734
b0440	273	10.6657	0	0
b0441	1872	1373	82	317.122
b0442	372	16.4218	0	0
b0443	399	19.1073	0	0
b0444	696	197.009	4	107.809
b0445	1701	1202	3	13.2526
b0446	819	320	9	149.34
b0447	459	28.7601	0	0
b0448	1773	1274	9	37.5108
b0449	1782	1283	8	33.109
b0450	339	13.9528	0	0
b0451	1287	788	1	6.73839
b0452	861	362	12	176.017
b0453	573	81.2865	1	65.3227
b0454	390	18.1303	0	0
b0456	354	14.9839	0	0
b0457	1551	1052	9	45.4265
b0458	471	31.6352	0	0
b0459	552	66.4726	8	639.043
b0460	219	8.9292	0	0
b0461	375	16.6861	0	0
b0462	3150	2651	127	254.376
b0463	1194	695	65	496.605
b0464	648	149.243	10	355.787
b0465	3363	2864	35	64.89
b0466	162	7.62437	0	0
b0467	528	52.6932	3	302.308
b0468	378	16.9581	0	0
b0469	552	66.4726	11	878.684
b0470	1932	1433	29	107.457
b0471	330	13.3957	0	0
b0472	606	109.099	10	486.702
b0473	1875	1376	248	957.009
b0474	645	146.29	235	8529.77
b0475	963	464	8	91.5492
b0476	960	461	1	11.5181
b0477	1305	806	44	289.868
b0478	1677	1178	22	99.1654
b0479	1221	722	0	0
b0480	1653	1154	11	50.6139
b0481	480	34.082	1	155.797
b0482	795	296	7	125.571
b0483	342	14.1482	0	0
b0484	2505	2006	4	10.5879
b0485	933	434	0	0
b0486	1293	794	0	0
b0487	408	20.1799	0	0
b0488	459	28.7601	0	0
b0489	918	419	3	38.0181
b0490	678	179.034	1	29.6584
b0491	780	281	1	18.8963
b0492	855	356	36	536.952
b0493	810	311	8	136.588
b0494	627	128.777	2	82.4662
b0495	687	188.018	0	0
b0496	2415	1916	1	2.77132
b0497	4281	3782	1	1.40398
b0498	369	16.165	0	0
b0499	708	209.003	0	0
b0501	491	37.4592	0	0
b4632	93	6.49021	0	0
b0502	423	22.2141	0	0
b0503	1095	596	0	0
b0504	927	428	0	0
b0505	483	34.9588	0	0
b0506	816	317	19	318.256
b0507	1782	1283	1	4.13862
b0508	777	278	0	0
b0509	879	380	0	0
b0511	1455	956	0	0
b0512	1362	863	0	0
b0513	1302	803	0	0
b0514	1146	647	0	0
b0515	786	287	3	55.5037
b0516	1236	737	0	0
b0517	1050	551	0	0
b0518	1668	1169	0	0
b4572	1260	761	0	0
b0520	816	317	0	0
b0521	894	395	0	0
b0522	1068	569	1	9.33191
b0523	510	44.4593	3	358.295
b0524	723	224.001	0	0
b0525	495	38.8032	41	5610.46
b0526	1386	887	90	538.768
b0527	522	49.7597	0	0
b0528	213	8.77069	0	0
b0529	867	368	12	173.147
b0530	543	60.9118	0	0
b0531	693	194.011	2	54.7376
b0532	2604	2105	2	5.04499
b0533	984	485	0	0
b0534	516	47.0179	0	0
b0535	633	134.567	0	0
b0536	77	6.27601	0	0
b0537	1164	665	12	95.8169
b4633	222	9.01066	0	0
b0539	279	10.9009	0	0
b4508	312	12.3992	0	0
b0542	306	12.0979	0	0
b0540	300	11.8104	0	0
b0541	867	368	0.2	2.88579
b0543	333	13.5766	0	0
b0544	1527	1028	1	5.16523
b0545	552	66.4726	0	0
b0546	798	299	1	17.7587
b4588	102	6.61767	0	0
b0547	456	28.1035	0	0
b0548	171	7.80376	0	0
b0549	291	11.4031	0	0
b0550	363	15.6727	0	0
b4509	141	7.23733	0	0
b0551	384	17.5267	0	0
b0553	1098	599	128	1134.66
b0552	1017	518	12.9938	133.196
b0554	216	8.84923	0	0
b0555	498	39.8547	0	0
b0556	462	29.4405	7	1262.51
b4510	183	8.05699	0	0
b0557	294	11.5358	0	0
b0558	411	20.5608	0	0
b0559	207	8.61779	0	0
b4589	195	8.32774	0	0
b0560	546	62.7123	0	0
b4634	309	12.2468	0	0
b0561	438	24.6163	0	0
b0562	657	158.14	0	0
b0563	183	8.05699	0	0
b0564	750	251	12	253.858
b0565	954	455	276	3220.92
b4635	45	5.88363	0	0
b0566	762	263	0	0
b0567	891	392	0	0
b0568	2973	2474	7	15.0238
b0569	2238	1739	1	3.0534
b0570	1443	944	6	33.7491
b0571	684	185.022	0	0
b0572	1374	875	0	0
b0573	333	13.5766	0	0
b0574	1224	725	0	0
b0575	3144	2645	2	4.01501
b0576	1377	878	16	96.7627
b0577	1248	749	16	113.428
b0578	654	155.169	20	684.398
b0579	369	16.165	0	0
b0580	249	9.81725	0	0
b0581	1119	620	4	34.2571
b4415	153	7.45333	0	0
b0582	1113	614	16.6667	144.133
b0583	621	123.049	1	43.1523
b0584	2241	1742	2	6.09627
b0585	1203	704	9	67.8817
b4511	219	8.9292	0	0
b0586	3882	3383	24	37.6697
b0587	1134	635	1	8.36198
b0588	816	317	6	100.502
b0589	993	494	1	10.7487
b0590	1005	506	0	0
b0591	1251	752	15	105.915
b0592	957	458	6	69.5614
b0593	1176	677	6	47.0593
b0594	1611	1112	11	52.5255
b0595	858	359	3	44.372
b0596	747	248	2	42.8214
b0597	414	20.9541	0	0
b0598	2106	1607	2	6.60841
b4512	198	8.39836	0	0
b0599	1089	590	2	17.9995
b0600	1161	662	1	8.02093
b0601	630	131.665	0	0
b0602	1221	722	0	0
b0603	903	404	0	0
b0604	747	248	4	85.6428
b0605	564	74.6286	215	15297.3
b0606	1566	1067	297	1478
b0607	429	23.1265	0	0
b0608	1239	740	3	21.5264
b0610	411	20.5608	0	0
b0611	807	308	6	103.439
b0612	1464	965	0	0
b0613	879	380	0	0
b0614	552	66.4726	1	79.8803
b0615	1533	1034	0	0
b0616	909	410	0	0
b0617	297	11.6716	0	0
b0618	1059	560	0	0
b0619	1659	1160	7	32.0422
b0620	681	182.027	1	29.1706
b0621	1386	887	0	0
b0622	561	72.511	0	0
b0623	210	8.69356	0	0
b0624	384	17.5267	0	0
b4581	789	290	3	54.9295
b0627	204	8.54336	0	0
b0628	966	467	55	625.358
b0629	954	455	4	46.68
b0630	642	143.344	4	148.171
b0631	264	10.331	0	0
b0632	1212	713	41	305.335
b0633	1089	590	14	125.997
b0634	1113	614	21	181.607
b0635	1902	1403	35	132.463
b0636	468	30.877	0	0
b0637	318	12.7153	0	0
b0638	612	114.607	0	0
b0639	642	143.344	2	74.0853
b0640	1032	533	10	99.622
b0641	582	88.3792	8	480.643
b0642	2583	2084	121	308.298
b0643	483	34.9588	7	1063.22
b0644	978	479	1	11.0853
b0645	708	209.003	0	0
b0646	1428	929	0	0
b0647	555	68.4326	0	0
b0648	708	209.003	0	0
b0649	1452	953	1	5.57173
b0650	1671	1172	4	18.1224
b0651	936	437	6	72.9042
b0652	726	227.001	1	23.3914
b0653	675	176.042	0	0
b0654	741	242	1	21.9415
b0655	909	410	13	168.361
b0656	1017	518	12.9938	133.196
b0657	1539	1040	14	71.4788
b0658	879	380	28	391.252
b0659	468	30.877	0	0
b0660	1041	542	14	137.155
b0661	1425	926	44	252.304
b0662	1176	677	2	15.6864
b0664	75	6.25028	0	0
b0665	75	6.25028	0	0
b0666	77	6.27601	0	0
b0668	75	6.25028	0	0
b0670	75	6.25028	0	0
b0672	85	6.3812	0	0
b0673	77	6.27601	0	0
b0674	1665	1166	15	68.3086
b0675	753	254	12	250.859
b0676	1221	722	24	176.505
b0677	1149	650	13	106.197
b0678	801	302	22	386.811
b0679	1947	1448	31	113.678
b0680	1665	1166	27	122.955
b0681	1407	908	1	5.84786
b0682	327	13.2192	0	0
b0683	447	26.2683	0	0
b4637	87	6.40809	0	0
b0684	531	54.2343	78	7636.65
b0685	294	11.5358	0	0
b0686	765	266	10	199.619
b0687	546	62.7123	19	1608.73
b0688	1641	1142	35	162.736
b0689	495	38.8032	0	0
b0691	651	152.203	2	69.7735
b4636	150	7.39808	0	0
b0692	1320	821	0	0
b0693	2199	1700	0	0
b4590	258	10.1192	0	0
b0694	678	179.034	0	0
b0695	2685	2186	8	19.4322
b0696	573	81.2865	0	0
b0697	2049	1550	1	3.42571
b0698	1674	1175	1	4.51903
b4513	90	6.44887	0	0
b0699	207	8.61779	0	0
b0700	4194	3695	2	2.87408
b0702	327	13.2192	0	0
b0703	1521	1022	0	0
b0704	570	79.0173	0	0
b4514	240	9.53274	0	0
b0705	1137	638	0	0
b0706	762	263	0	0
b0707	510	44.4593	0	0
b0708	1419	920	3	17.3147
b0709	1482	983	1	5.40168
b0710	744	245	1	21.6729
b0711	657	158.14	3	100.731
b0712	933	434	4	48.9388
b0713	735	236	6	134.996
b0714	792	293	1	18.1224
b0715	1047	548	0	0
b0716	1062	563	2	18.8627
b0717	729	230.001	0	0
b0718	2448	1949	0	0
b0719	567	76.7977	0	0
b0720	1284	785	5	33.8207
b0721	390	18.1303	0	0
b0722	348	14.5549	0	0
b0723	1767	1268	26	108.877
b0724	717	218.002	21	511.496
b0726	2802	2303	106	244.396
b0727	1218	719	84	620.345
b0728	1167	668	32	254.364
b0729	870	371	30	429.368
b0730	723	224.001	3	71.1138
b0731	1977	1478	0	0
b0732	2634	2135	6	14.9223
b0733	1569	1070	86	426.773
b0734	1140	641	13	107.688
b4515	114	6.79612	0	0
b0735	294	11.5358	0	0
b0736	405	19.811	0	0
b0737	693	194.011	14	383.163
b0738	429	23.1265	0	0
b0739	1266	767	21	145.381
b0740	1293	794	56	374.499
b0741	522	49.7597	31	3308.01
b0742	792	293	50	906.119
b0743	76	6.26311	0	0
b0744	76	6.26311	0	0
b0745	76	6.26311	0	0
b0746	76	6.26311	0	0
b0747	76	6.26311	0	0
b0748	76	6.26311	0	0
b0749	76	6.26311	0	0
b0750	1044	545	3	29.2286
b0751	720	221.001	2	48.0527
b0752	942	443	0	0
b0753	381	17.2382	0	0
b0754	1053	554	22	210.861
b0755	753	254	149	3114.84
b0756	1041	542	22	215.529
b0757	1149	650	6	49.014
b0758	1047	548	7	67.8266
b0759	1017	518	6	61.5041
b0760	1473	974	5	27.258
b0761	789	290	4	73.2394
b0762	150	7.39808	0	0
b0763	774	275	4	77.2343
b0764	690	191.014	0	0
b0765	1059	560	0	0
b0766	819	320	9	149.34
b0767	996	497	12	128.206
b0768	954	455	1	11.67
b0769	1053	554	0	0
b0770	1434	935	1	5.67899
b0771	2262	1763	2	6.02366
b0772	1284	785	21	142.047
b0773	477	33.2366	0	0
b0774	1290	791	1	6.71284
b0775	1041	542	1	9.79678
b0776	1155	656	0	0
b0777	756	257	0	0
b0778	678	179.034	0	0
b0779	2022	1523	19	66.2424
b0780	909	410	9	116.558
b0781	990	491	28	302.802
b0782	513	45.7163	8	929.184
b0783	486	35.8681	0	0
b0784	246	9.72054	0	0
b0785	453	27.47	0	0
b0786	705	206.004	30	773.264
b0787	714	215.002	0	0
b0788	957	458	1	11.5936
b0789	1242	743	0	0
b0790	762	263	2	40.3791
b0791	411	20.5608	0	0
b0792	1107	608	3	26.1999
b0793	1134	635	2	16.724
b0794	1737	1238	7	30.0234
b0795	999	500	4	42.4788
b0796	672	173.052	1	30.6836
b0797	1365	866	22	134.892
b0798	483	34.9588	1	151.889
b0799	2151	1652	10	32.142
b0800	963	464	3	34.331
b0801	1086	587	9	81.4117
b0802	261	10.224	0	0
b0803	267	10.4402	0	0
b0804	678	179.034	0	0
b0805	2283	1784	22	65.4803
b0806	261	10.224	0	0
b0807	927	428	3	37.2186
b0808	2226	1727	1	3.07461
b0809	723	224.001	0	0
b0810	660	161.116	1	32.9568
b0811	747	248	10	214.107
b0812	504	42.0749	7	883.401
b0813	888	389	5	68.2501
b0814	516	47.0179	152	17165.8
b0815	1584	1085	9	44.0449
b4705	129	7.03401	0	0
b0817	468	30.877	0	0
b0818	1119	620	1	8.56428
b0819	921	422	28	352.313
b0820	1593	1094	44	213.559
b0821	1266	767	3	20.7687
b0822	816	317	12	201.004
b0823	2433	1934	0	0
b0824	900	401	0	0
b0825	663	164.095	2	64.7168
b0826	750	251	2	42.3096
b0827	1236	737	12	86.4563
b0828	966	467	4	45.4806
b0829	1872	1373	7	27.0714
b0830	1539	1040	5	25.5281
b0831	921	422	1	12.5826
b0832	912	413	2	25.7136
b0833	2349	1850	21	60.274
b0834	1329	830	8	51.1793
b0835	1326	827	29	186.198
b0836	384	17.5267	0	0
b0837	1116	617	0	0
b0838	627	128.777	2	82.4662
b0839	1203	704	19	143.306
b0840	759	260	4	81.6901
b0841	597	101.058	15	788.141
b0842	1233	734	9	65.1072
b0843	285	11.1465	0	0
b0844	816	317	7	117.252
b0845	1209	710	4	29.9147
b0846	537	57.4692	0	0
b0847	1686	1187	12	53.6801
b0848	378	16.9581	0	0
b0849	258	10.1192	0	0
b0850	288	11.2734	0	0
b0851	723	224.001	1	23.7046
b0852	903	404	4	52.5728
b0853	477	33.2366	0	0
b0854	1113	614	0	0
b0855	1134	635	0	0
b0856	954	455	0	0
b0857	846	347	0	0
b0858	489	36.8111	0	0
b0859	1128	629	0	0
b0860	732	233	0	0
b0861	669	170.064	6	187.336
b0862	717	218.002	4	97.4278
b0863	732	233	18	410.203
b0864	729	230.001	13	300.122
b0865	516	47.0179	3	338.798
b0866	324	13.047	0	0
b0867	831	332	4	63.9742
b0868	1014	515	22	226.829
b0869	1431	932	3	17.0918
b0870	1002	503	7	73.8946
b0871	1719	1220	22	95.7515
b0872	969	470	0	0
b0873	1653	1154	0	0
b0874	900	401	3	39.7246
b0875	696	197.009	1	26.9524
b0876	1659	1160	18	82.3943
b0877	993	494	76	816.901
b0878	1116	617	3	25.8178
b0879	1947	1448	1	3.66703
b0880	225	9.09363	0	0
b0881	321	12.8791	0	0
b0882	2277	1778	23	68.6877
b0883	88	6.42162	0	0
b0884	219	8.9292	0	0
b0885	705	206.004	7	180.428
b0886	1722	1223	12	52.1
b0887	1767	1268	9	37.6882
b0888	966	467	254	2888.02
b0889	495	38.8032	1	136.841
b0890	3990	3491	98	149.059
b0891	612	114.607	1	46.3312
b0892	1344	845	4	25.1354
b0893	1293	794	143	956.309
b0894	2445	1946	1	2.7286
b0895	618	120.213	1	44.1702
b0896	864	365	0	0
b0897	627	128.777	5	206.165
b0898	1149	650	3	24.507
b0899	1431	932	1	5.69727
b0900	909	410	0	0
b0901	591	95.8682	0	0
b0902	741	242	11	241.357
b0903	2283	1784	347	1032.8
b0904	858	359	0	0
b0905	1761	1262	38	159.885
b0906	693	194.011	1	27.3688
b0907	1089	590	26	233.994
b0908	1284	785	13	87.9339
b0909	765	266	2	39.9237
b0910	684	185.022	32	918.352
b0911	1674	1175	1676	7573.89
b0912	285	11.1465	0	0
b0913	2265	1766	1	3.00671
b0914	1749	1250	66	280.36
b0915	987	488	9	97.9277
b0916	1233	734	7	50.6389
