target_id	length	eff_length	est_counts	tpm
b4505	249	9.81725	0	0
b0266	309	12.2468	0	0
b0267	1155	656	0	0
b0268	909	410	1	12.1879
b0269	1968	1469	2	6.80334
b0270	1383	884	0	0
b0271	1611	1112	0	0
b0272	759	260	8	153.755
b0273	1005	506	0	0
b4688	205	8.56803	0	0
b0274	504	42.0749	0	0
b0275	276	10.782	0	0
b0276	828	329	1	15.1886
b0277	627	128.777	1	38.804
b0278	699	200.007	1	24.9844
b0279	855	356	0	0
b0280	441	25.1479	0	0
b0281	1401	902	43	238.219
b4629	49	5.93211	0	0
b4694	339	13.9528	0	0
b4695	78	6.28896	0	0
b0283	957	458	2	21.8212
b0284	2199	1700	0	0
b0285	957	458	1	10.9106
b0286	690	191.014	0	0
b0287	615	117.399	6	255.389
b0288	330	13.3957	0	0
b0289	711	212.003	0	0
b0290	1644	1145	0	0
b0291	2526	2027	0	0
b0292	669	170.064	0	0
b0293	588	93.3306	1	53.5414
b0294	591	95.8682	0	0
b0295	228	9.17816	0	0
b4506	141	7.23733	0	0
b0296	264	10.331	0	0
b4671	102	6.61767	0	0
b4630	90	6.44887	0	0
b0297	872	373	0	0
b0298	300	11.8104	0	0
b0299	867	368	0.2	2.71579
b0300	684	185.022	0	0
b4631	129	7.03401	0	0
b0301	594	98.4446	0	0
b0303	237	9.44154	0	0
b0304	1326	827	2	12.0848
b0305	855	356	1	14.0367
b0306	720	221.001	0	0
b0307	1428	929	0	0
b0308	696	197.009	0	0
b0310	669	170.064	0	0
b0311	1671	1172	12	51.1643
b0312	1473	974	7	35.9131
b0313	588	93.3306	5	267.707
b0314	2034	1535	8	26.0433
b0315	1089	590	9	76.2262
b0316	933	434	1	11.5139
b0317	498	39.8547	0	0
b0318	606	109.099	1	45.803
b0319	864	365	0	0
b0320	1548	1049	0	0
b0321	1419	920	0	0
b0323	951	452	0	0
b0324	1383	884	6	33.9166
b0325	1050	551	0	0
b0326	816	317	0	0
b0327	246	9.72054	0	0
b0328	672	173.052	1	28.876
b0329	276	10.782	0	0
b0330	1587	1088	0	0
b0331	891	392	0	0
b0333	1170	671	0	0
b0334	1452	953	0	0
b0335	1887	1388	0	0
b0336	1260	761	4	26.2657
b0337	1284	785	8	50.9254
b0338	900	401	0	0
b0339	660	161.116	0	0
b0340	471	31.6352	0	0
b0341	1155	656	0	0
b0342	612	114.607	0	0
b0343	1254	755	0	0
b0344	3075	2576	2	3.8797
b0345	1083	584	6	51.3396
b0346	834	335	0	0
b0347	1665	1166	0	0
b0348	945	446	0	0
b0349	867	368	0	0
b0350	810	311	0	0
b0351	951	452	0	0
b0352	1014	515	0	0
b0353	1212	713	1	7.00849
b0354	540	59.1642	0	0
b0355	834	335	9	134.249
b0356	1110	611	16	130.856
b0357	276	10.782	0	0
b0358	774	275	0	0
b4579	698	199.008	0	0
b0360	366	15.9154	0	0
b0361	906	407	1.66667	20.4629
b0363	1197	698	2	14.3182
b0364	558	70.4455	0	0
b0365	963	464	0	0
b0366	768	269	0	0
b0367	828	329	1	15.1886
b0368	852	353	0	0
b0369	975	476	45	472.41
b4580	2907	2408	5	10.3759
b0372	867	368	0.2	2.71579
b0373	300	11.8104	0	0
b0375	624	125.904	0	0
b0376	1158	659	10	75.8278
b0377	1221	722	2	13.8422
b0378	1095	596	3	25.1529
b0379	309	12.2468	0	0
b0380	213	8.77069	0	0
b0381	1095	596	36	301.835
b0382	261	10.224	0	0
b0383	1416	917	0	0
b0384	321	12.8791	0	0
b0385	1116	617	1	8.09895
b0386	810	311	8	128.542
b0387	459	28.7601	0	0
b0388	525	51.202	7	683.164
b0389	192	8.25831	0	0
b0390	678	179.034	4	111.645
b0391	285	11.1465	0	0
b0392	342	14.1482	0	0
b0393	912	413	39	471.876
b0394	909	410	3	36.5638
b0396	1185	686	2	14.5687
b0397	3147	2648	28	52.8389
b0398	1203	704	4	28.3923
b0399	690	191.014	0	0
b0400	1296	797	5	31.3491
b0401	1320	821	13	79.125
b0402	1374	875	22	125.64
b0403	1815	1316	9	34.1744
b0404	582	88.3792	2	113.082
b0405	1071	572	20	174.722
b0406	1128	629	61	484.611
b0407	333	13.5766	0	0
b0408	1848	1349	103	381.539
b0409	972	473	33	348.631
b0410	348	14.5549	0	0
b0411	885	386	170	2200.77
b0412	540	59.1642	0	0
b0413	450	26.8585	0	0
b0414	1104	605	5	41.2979
b0415	471	31.6352	2	315.917
b0416	420	21.7802	0	0
b0417	978	479	14	146.052
b0418	519	48.3653	1	103.319
b0419	975	476	4	41.992
b0420	1863	1364	15	54.9529
b0421	900	401	21	261.691
b0422	243	9.62572	0	0
b0423	1449	950	63	331.383
b0424	591	95.8682	2	104.248
b0425	912	413	5	60.497
b0426	492	37.7891	6	793.411
b0427	1365	866	7	40.3919
b0428	891	392	117	1491.47
b0429	330	13.3957	0	0
b0430	615	117.399	24	1021.56
b0431	1992	1493	419	1402.39
b0432	948	449	374	4162.35
b0433	1476	977	20	102.294
b0434	579	85.9688	13	755.642
b0435	318	12.7153	0	0
b0436	1299	800	985	6152.62
b0437	624	125.904	40	1587.57
b0438	1275	776	67	431.446
b0439	2355	1856	174	468.474
b0440	273	10.6657	0	0
b0441	1872	1373	107	389.428
b0442	372	16.4218	0	0
b0443	399	19.1073	0	0
b0444	696	197.009	4	101.458
b0445	1701	1202	1	4.15728
b0446	819	320	2	31.2316
b0447	459	28.7601	0	0
b0448	1773	1274	5	19.6117
b0449	1782	1283	4	15.5793
b0450	339	13.9528	0	0
b0451	1287	788	0	0
b0452	861	362	6	82.824
b0453	573	81.2865	1	61.4746
b0454	390	18.1303	0	0
b0456	354	14.9839	0	0
b0457	1551	1052	8	38.0004
b0458	471	31.6352	0	0
b0459	552	66.4726	12	902.095
b0460	219	8.9292	0	0
b0461	375	16.6861	0	0
b0462	3150	2651	138	260.126
b0463	1194	695	45	323.55
b0464	648	149.243	3	100.448
b0465	3363	2864	44	76.7703
b0466	162	7.62437	0	0
b0467	528	52.6932	2	189.666
b0468	378	16.9581	0	0
b0469	552	66.4726	13	977.27
b0470	1932	1433	33	115.075
b0471	330	13.3957	0	0
b0472	606	109.099	13	595.44
b0473	1875	1376	308	1118.53
b0474	645	146.29	216	7378.26
b0475	963	464	7	75.3865
b0476	960	461	3	32.5188
b0477	1305	806	40	247.993
b0478	1677	1178	49	207.857
b0479	1221	722	4	27.6845
b0480	1653	1154	7	30.3114
b0481	480	34.082	1	146.619
b0482	795	296	1	16.8819
b0483	342	14.1482	0	0
b0484	2505	2006	2	4.9821
b0485	933	434	2	23.0279
b0486	1293	794	0	0
b0487	408	20.1799	0	0
b0488	459	28.7601	0	0
b0489	918	419	5	59.6307
b0490	678	179.034	2	55.8223
b0491	780	281	2	35.5662
b0492	855	356	36	505.32
b0493	810	311	8	128.542
b0494	627	128.777	3	116.412
b0495	687	188.018	0	0
b0496	2415	1916	3	7.82419
b0497	4281	3782	0	0
b0498	369	16.165	0	0
b0499	708	209.003	1	23.909
b0501	491	37.4592	0	0
b4632	93	6.49021	0	0
b0502	423	22.2141	0	0
b0503	1095	596	3	25.1529
b0504	927	428	0	0
b0505	483	34.9588	0	0
b0506	816	317	19	299.508
b0507	1782	1283	0	0
b0508	777	278	1	17.975
b0509	879	380	0	0
b0511	1455	956	0	0
b0512	1362	863	0	0
b0513	1302	803	0	0
b0514	1146	647	0	0
b0515	786	287	2	34.8227
b0516	1236	737	1	6.78026
b0517	1050	551	0	0
b0518	1668	1169	0	0
b4572	1260	761	0	0
b0520	816	317	0	0
b0521	894	395	0	0
b0522	1068	569	6	52.693
b0523	510	44.4593	0	0
b0524	723	224.001	3	66.9245
b0525	495	38.8032	24	3090.7
b0526	1386	887	72	405.623
b0527	522	49.7597	0	0
b0528	213	8.77069	0	0
b0529	867	368	11	149.368
b0530	543	60.9118	0	0
b0531	693	194.011	1	25.7565
b0532	2604	2105	0	0
b0533	984	485	2	20.6064
b0534	516	47.0179	0	0
b0535	633	134.567	0	0
b0536	77	6.27601	0	0
b0537	1164	665	18	135.259
b4633	222	9.01066	0	0
b0539	279	10.9009	0	0
b4508	312	12.3992	0	0
b0542	306	12.0979	0	0
b0540	300	11.8104	0	0
b0541	867	368	0.2	2.71579
b0543	333	13.5766	0	0
b0544	1527	1028	3	14.5828
b0545	552	66.4726	0	0
b0546	798	299	2	33.4251
b4588	102	6.61767	0	0
b0547	456	28.1035	0	0
b0548	171	7.80376	0	0
b0549	291	11.4031	0	0
b0550	363	15.6727	0	0
b4509	141	7.23733	0	0
b0551	384	17.5267	0	0
b0553	1098	599	71	592.305
b0552	1017	518	11.1308	107.377
b0554	216	8.84923	0	0
b0555	498	39.8547	0	0
b0556	462	29.4405	1	169.734
b4510	183	8.05699	0	0
b0557	294	11.5358	0	0
b0558	411	20.5608	0	0
b0559	207	8.61779	0	0
b4589	195	8.32774	0	0
b0560	546	62.7123	0	0
b4634	309	12.2468	0	0
b0561	438	24.6163	0	0
b0562	657	158.14	0	0
b0563	183	8.05699	0	0
b0564	750	251	3	59.7257
b0565	954	455	298	3272.79
b4635	45	5.88363	0	0
b0566	762	263	0	0
b0567	891	392	2	25.4952
b0568	2973	2474	9	18.1784
b0569	2238	1739	1	2.87352
b0570	1443	944	4	21.1739
b0571	684	185.022	0	0
b0572	1374	875	0	0
b0573	333	13.5766	0	0
b0574	1224	725	1	6.89248
b0575	3144	2645	1	1.88924
b0576	1377	878	19	108.137
b0577	1248	749	16	106.746
b0578	654	155.169	2	64.408
b0579	369	16.165	0	0
b0580	249	9.81725	0	0
b0581	1119	620	0	0
b4415	153	7.45333	0	0
b0582	1113	614	17.3333	141.068
b0583	621	123.049	0	0
b0584	2241	1742	3	8.60571
b0585	1203	704	1	7.09808
b4511	219	8.9292	0	0
b0586	3882	3383	11	16.2482
b0587	1134	635	1	7.86937
b0588	816	317	5	78.8178
b0589	993	494	3	30.3465
b0590	1005	506	0	0
b0591	1251	752	10	66.4501
b0592	957	458	4	43.6424
b0593	1176	677	10	73.8117
b0594	1611	1112	7	31.4563
b0595	858	359	3	41.7581
b0596	747	248	1	20.1494
b0597	414	20.9541	0	0
b0598	2106	1607	4	12.4382
b4512	198	8.39836	0	0
b0599	1089	590	4	33.8783
b0600	1161	662	3	22.6452
b0601	630	131.665	0	0
b0602	1221	722	0	0
b0603	903	404	1	12.3689
b0604	747	248	6	120.896
b0605	564	74.6286	108	7231.56
b0606	1566	1067	113	529.21
b0607	429	23.1265	0	0
b0608	1239	740	2	13.5055
b0610	411	20.5608	0	0
b0611	807	308	5	81.121
b0612	1464	965	0	0
b0613	879	380	0	0
b0614	552	66.4726	0	0
b0615	1533	1034	0	0
b0616	909	410	0	0
b0617	297	11.6716	0	0
b0618	1059	560	0	0
b0619	1659	1160	4	17.2312
b0620	681	182.027	1	27.4522
b0621	1386	887	0	0
b0622	561	72.511	0	0
b0623	210	8.69356	0	0
b0624	384	17.5267	0	0
b4581	789	290	1	17.2312
b0627	204	8.54336	0	0
b0628	966	467	39	417.313
b0629	954	455	5	54.9126
b0630	642	143.344	8	278.884
b0631	264	10.331	0	0
b0632	1212	713	32	224.272
b0633	1089	590	16	135.513
b0634	1113	614	38	309.264
b0635	1902	1403	55	195.893
b0636	468	30.877	0	0
b0637	318	12.7153	0	0
b0638	612	114.607	0	0
b0639	642	143.344	4	139.442
b0640	1032	533	16	150.005
b0641	582	88.3792	4	226.164
b0642	2583	2084	165	395.64
b0643	483	34.9588	1	142.941
b0644	978	479	0	0
b0645	708	209.003	0	0
b0646	1428	929	0	0
b0647	555	68.4326	0	0
b0648	708	209.003	0	0
b0649	1452	953	0	0
b0650	1671	1172	0	0
b0651	936	437	4	45.7396
b0652	726	227.001	3	66.0401
b0653	675	176.042	0	0
b0654	741	242	3	61.9469
b0655	909	410	6	73.1276
b0656	1017	518	11.1308	107.377
b0657	1539	1040	11	52.8534
b0658	879	380	38	499.705
b0659	468	30.877	0	0
b0660	1041	542	33	304.248
b0661	1425	926	31	167.288
b0662	1176	677	5	36.9058
b0664	75	6.25028	0	0
b0665	75	6.25028	0	0
b0666	77	6.27601	0	0
b0668	75	6.25028	0	0
b0670	75	6.25028	0	0
b0672	85	6.3812	0	0
b0673	77	6.27601	0	0
b0674	1665	1166	10	42.8564
b0675	753	254	29	570.529
b0676	1221	722	15	103.817
b0677	1149	650	2	15.3755
b0678	801	302	12	198.558
b0679	1947	1448	35	120.785
b0680	1665	1166	34	145.712
b0681	1407	908	5	27.5168
b0682	327	13.2192	0	0
b0683	447	26.2683	0	0
b4637	87	6.40809	0	0
b0684	531	54.2343	44	4054.08
b0685	294	11.5358	0	0
b0686	765	266	5	93.9295
b0687	546	62.7123	34	2709.19
b0688	1641	1142	54	236.288
b0689	495	38.8032	0	0
b0691	651	152.203	0	0
b4636	150	7.39808	0	0
b0692	1320	821	0	0
b0693	2199	1700	1	2.93944
b4590	258	10.1192	0	0
b0694	678	179.034	0	0
b0695	2685	2186	8	18.2875
b0696	573	81.2865	0	0
b0697	2049	1550	2	6.44781
b0698	1674	1175	1	4.25281
b4513	90	6.44887	0	0
b0699	207	8.61779	0	0
b0700	4194	3695	1	1.35238
b0702	327	13.2192	0	0
b0703	1521	1022	2	9.77896
b0704	570	79.0173	0	0
b4514	240	9.53274	0	0
b0705	1137	638	0	0
b0706	762	263	0	0
b0707	510	44.4593	0	0
b0708	1419	920	2	10.8632
b0709	1482	983	2	10.1669
b0710	744	245	2	40.7922
b0711	657	158.14	1	31.5989
b0712	933	434	3	34.5418
b0713	735	236	2	42.3478
b0714	792	293	1	17.0548
b0715	1047	548	1	9.11871
b0716	1062	563	0	0
b0717	729	230.001	1	21.7263
b0718	2448	1949	0	0
b0719	567	76.7977	0	0
b0720	1284	785	4	25.4627
b0721	390	18.1303	0	0
b0722	348	14.5549	0	0
b0723	1767	1268	10	39.4089
b0724	717	218.002	5	114.61
b0726	2802	2303	20	43.396
b0727	1218	719	16	111.2
b0728	1167	668	8	59.8449
b0729	870	371	9	121.222
b0730	723	224.001	6	133.849
b0731	1977	1478	0	0
b0732	2634	2135	3	7.02162
b0733	1569	1070	230	1074.13
b0734	1140	641	45	350.807
b4515	114	6.79612	0	0
b0735	294	11.5358	0	0
b0736	405	19.811	0	0
b0737	693	194.011	27	695.426
b0738	429	23.1265	0	0
b0739	1266	767	19	123.786
b0740	1293	794	32	201.392
b0741	522	49.7597	23	2309.75
b0742	792	293	40	682.191
b0743	76	6.26311	0	0
b0744	76	6.26311	0	0
b0745	76	6.26311	0	0
b0746	76	6.26311	0	0
b0747	76	6.26311	0	0
b0748	76	6.26311	0	0
b0749	76	6.26311	0	0
b0750	1044	545	4	36.6756
b0751	720	221.001	2	45.2219
b0752	942	443	0	0
b0753	381	17.2382	0	0
b0754	1053	554	16	144.319
b0755	753	254	158	3108.4
b0756	1041	542	12	110.636
b0757	1149	650	3	23.0633
b0758	1047	548	4	36.4748
b0759	1017	518	3	28.9404
b0760	1473	974	10	51.3044
b0761	789	290	2	34.4624
b0762	150	7.39808	0	0
b0763	774	275	4	72.6844
b0764	690	191.014	2	52.3213
b0765	1059	560	0	0
b0766	819	320	4	62.4631
b0767	996	497	11	110.599
b0768	954	455	0	0
b0769	1053	554	0	0
b0770	1434	935	1	5.34444
b0771	2262	1763	2	5.6688
b0772	1284	785	30	190.97
b0773	477	33.2366	0	0
b0774	1290	791	0	0
b0775	1041	542	0	0
b0776	1155	656	1	7.61746
b0777	756	257	1	19.4438
b0778	678	179.034	0	0
b0779	2022	1523	42	137.804
b0780	909	410	5	60.9396
b0781	990	491	31	315.496
b0782	513	45.7163	7	765.14
b0783	486	35.8681	0	0
b0784	246	9.72054	0	0
b0785	453	27.47	0	0
b0786	705	206.004	13	315.341
b0787	714	215.002	1	23.2419
b0788	957	458	0	0
b0789	1242	743	0	0
b0790	762	263	0	0
b0791	411	20.5608	0	0
b0792	1107	608	6	49.313
b0793	1134	635	5	39.3469
b0794	1737	1238	1	4.03639
b0795	999	500	1	9.9941
b0796	672	173.052	0	0
b0797	1365	866	36	207.73
b0798	483	34.9588	0	0
b0799	2151	1652	10	30.2485
b0800	963	464	6	64.617
b0801	1086	587	7	59.59
b0802	261	10.224	0	0
b0803	267	10.4402	0	0
b0804	678	179.034	0	0
b0805	2283	1784	11	30.8114
b0806	261	10.224	0	0
b0807	927	428	8	93.4028
b0808	2226	1727	0	0
b0809	723	224.001	4	89.2327
b0810	660	161.116	2	62.0307
b0811	747	248	16	322.39
b0812	504	42.0749	2	237.531
b0813	888	389	1	12.8459
b0814	516	47.0179	91	9671.46
b0815	1584	1085	15	69.0837
b4705	129	7.03401	0	0
b0817	468	30.877	2	323.674
b0818	1119	620	4	32.239
b0819	921	422	20	236.827
b0820	1593	1094	93	424.795
b0821	1266	767	2	13.0301
b0822	816	317	3	47.2907
b0823	2433	1934	0	0
b0824	900	401	1	12.4615
b0825	663	164.095	1	30.4522
b0826	750	251	1	19.9086
b0827	1236	737	19	128.825
b0828	966	467	7	74.9023
b0829	1872	1373	3	10.9185
b0830	1539	1040	5	24.0243
b0831	921	422	0	0
b0832	912	413	0	0
b0833	2349	1850	7	18.9078
b0834	1329	830	11	66.226
b0835	1326	827	59	356.501
b0836	384	17.5267	0	0
b0837	1116	617	0	0
b0838	627	128.777	3	116.412
b0839	1203	704	14	99.3732
b0840	759	260	3	57.6583
b0841	597	101.058	15	741.712
b0842	1233	734	18	122.543
b0843	285	11.1465	0	0
b0844	816	317	3	47.2907
b0845	1209	710	9	63.3429
b0846	537	57.4692	0	0
b0847	1686	1187	12	50.5178
b0848	378	16.9581	0	0
b0849	258	10.1192	0	0
b0850	288	11.2734	0	0
b0851	723	224.001	6	133.849
b0852	903	404	6	74.2136
b0853	477	33.2366	0	0
b0854	1113	614	1	8.13852
b0855	1134	635	0	0
b0856	954	455	0	0
b0857	846	347	0	0
b0858	489	36.8111	1	135.748
b0859	1128	629	6	47.6666
b0860	732	233	6	128.679
b0861	669	170.064	7	205.684
b0862	717	218.002	2	45.8442
b0863	732	233	15	321.698
b0864	729	230.001	17	369.346
b0865	516	47.0179	1	106.28
b0866	324	13.047	0	0
b0867	831	332	3	45.1541
b0868	1014	515	16	155.248
b0869	1431	932	7	37.5315
b0870	1002	503	1	9.93449
b0871	1719	1220	1	4.09594
b0872	969	470	0	0
b0873	1653	1154	0	0
b0874	900	401	1	12.4615
b0875	696	197.009	1	25.3646
b0876	1659	1160	19	81.8482
b0877	993	494	53	536.121
b0878	1116	617	9	72.8905
b0879	1947	1448	2	6.902
b0880	225	9.09363	0	0
b0881	321	12.8791	0	0
b0882	2277	1778	39	109.609
b0883	88	6.42162	0	0
b0884	219	8.9292	0	0
b0885	705	206.004	3	72.7711
b0886	1722	1223	13	53.1166
b0887	1767	1268	8	31.5271
b0888	966	467	147	1572.95
b0889	495	38.8032	1	128.779
b0890	3990	3491	105	150.298
b0891	612	114.607	2	87.2036
b0892	1344	845	6	35.482
b0893	1293	794	154	969.201
b0894	2445	1946	2	5.13572
b0895	618	120.213	0	0
b0896	864	365	0	0
b0897	627	128.777	0	0
b0898	1149	650	5	38.4389
b0899	1431	932	1	5.36164
b0900	909	410	0	0
b0901	591	95.8682	0	0
b0902	741	242	8	165.192
b0903	2283	1784	226	633.034
b0904	858	359	7	97.4355
b0905	1761	1262	73	289.053
b0906	693	194.011	0	0
b0907	1089	590	15	127.044
b0908	1284	785	28	178.239
b0909	765	266	0	0
b0910	684	185.022	34	918.268
b0911	1674	1175	2463	10474.7
b0912	285	11.1465	0	0
b0913	2265	1766	1	2.82959
b0914	1749	1250	62	247.854
b0915	987	488	2	20.4797
b0916	1233	734	0	0
b0917	183	8.05699	0	0
